,0
NEAT1,0.012576626
ID3,0.010402201
KRT8,0.008583338
HIST1H4C,0.008210177
RP11-301G19.1,0.007956075
UFD1L,0.0076485653
ARPC1B,0.0071055577
PIM1,0.0069334605
HBA1,0.006793046
HIST1H3H,0.006483573
PNISR,0.0064198156
PLD3,0.0058835563
SH3BGRL,0.0058373264
COL18A1,0.005826067
CAP1,0.005804419
PPP3CA,0.005788675
TESC,0.0057354243
CD53,0.005667092
COMMD6,0.0056192228
AAK1,0.0055713383
PRSS57,0.0055223694
IER2,0.005466335
LY6E,0.00545492
HOXB2,0.00544345
C4orf48,0.0053437967
HIST1H1E,0.005255246
SQSTM1,0.0052406215
CCND3,0.0051919566
KRT18,0.0048568565
EMP3,0.00482501
RTN4,0.0047499677
MALAT1,0.004735261
CARHSP1,0.0046878965
CDC45,0.0046576248
YPEL3,0.0046082446
LST1,0.0045695775
HIST1H2BD,0.0045434367
AC006262.5,0.0044975085
PRDX4,0.0044938065
ID1,0.004486387
ROGDI,0.0044833343
SMAP2,0.0044023963
NABP1,0.0043808776
NPC2,0.0043234667
LAPTM4B,0.0042635393
SAT1,0.0042408826
BCYRN1,0.004188421
ORAI2,0.004140547
CALR,0.004117126
NUCB2,0.0040825843
SOCS2,0.0040652375
HBA2,0.0040607788
CREG1,0.0040565324
ARGLU1,0.0040380484
TEX30,0.0039631817
MSRB1,0.0039552776
ALAS2,0.0039336793
MYB,0.003912935
PSMB3,0.0038981074
TSC22D1,0.0038977785
CCDC136,0.0038786216
CTSC,0.003874592
AMHR2,0.0038698271
S100A4,0.0038694404
LGALS1,0.0038003596
MDK,0.0037686191
MANF,0.003766875
FEV,0.003696102
LINC01003,0.0035711254
CREM,0.0035647852
BAZ2B,0.00356437
PPP1R15A,0.003563277
SDF2L1,0.003537627
RUNX1,0.0035016872
NCKAP1L,0.003465726
OAZ2,0.003457073
CDKN1C,0.0034187527
RFK,0.003413686
TRPM4,0.0034061084
BHLHE40,0.0033317807
ADAM17,0.0033280537
MPC2,0.00331312
HP1BP3,0.0032785686
TUBA1C,0.0032783367
AIF1,0.0032244278
HOTAIRM1,0.0032237866
B2M,0.0032233656
LYZ,0.003189722
