,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,factor,mapped_gene
0,prerank,Myc Targets V1,-0.8869493944449758,-1.6320103482571722,0.0,0.011842563566701499,0.01,23/31,4.22%,PA2G4;C1QBP;SRM;MYC;HSP90AB1;NPM1;LDHA;PRDX4;PHB;NME1;SSB;SRSF3;PSMA4;DDX21;SRSF7;SSBP1;KPNA2;ODC1;PSMB2;RPL14;RANBP1;RPS6;RAN,0,AHR
1,prerank,Angiogenesis,0.8454566042522127,1.4469792809779694,0.0,0.3696402168555939,0.34,2/14,4.06%,S100A4;TIMP1,0,AHR
2,prerank,Estrogen Response Early,-0.6880207988492395,-1.41939532699753,0.017241379310344827,0.4381748519679554,0.52,11/58,6.76%,MYC;KRT18;FASN;MYB;RHOBTB3;SLC2A1;BHLHE40;HES1;CLDN7;KRT8;TUBB2B,0,AHR
3,prerank,mTORC1 Signaling,-0.6798033803613575,-1.3922238226844565,0.015151515151515152,0.4223847672123534,0.64,22/49,8.30%,LDHA;SDF2L1;SQLE;PSMA4;HSP90B1;ENO1;GAPDH;CORO1A;TM7SF2;HSPA5;RRM2;MLLT11;SLC2A1;BHLHE40;TRIB3;FADS1;DDIT4;SKAP2;DDIT3;CD9;TES;PRDX1,0,AHR
4,prerank,Myc Targets V2,-0.8880651712613785,-1.3782684251224326,0.043478260869565216,0.3552769070010449,0.68,6/8,3.66%,PA2G4;SRM;MYC;NPM1;PHB;WDR43,0,AHR
5,prerank,Apical Junction,-0.6287404601460177,-1.338187517414228,0.09375,0.419226750261233,0.83,13/57,7.00%,ACTG1;ZYX;MSN;CD99;KCNH2;ACTB;GNAI2;MPZL1;MYH9;RAC2;CLDN7;SKAP2;MYL9,0,AHR
6,prerank,Pancreas Beta Cells,-0.9102663281535454,-1.3291717650798502,0.034482758620689655,0.3888308371066992,0.87,1/8,0.30%,LMO2,0,AHR
7,prerank,Cholesterol Homeostasis,-0.6521923616331726,-1.2059145231649036,0.20967741935483872,0.9084938050455293,1.0,11/25,7.94%,FASN;ACTG1;CLU;SQLE;FABP5;TM7SF2;TNFRSF12A;TRIB3;ACAT2;S100A11;CD9,0,AHR
8,prerank,E2F Targets,-0.6112279696042836,-1.1872727194013337,0.17647058823529413,0.8837513061650992,1.0,23/44,7.88%,PA2G4;MYC;PRDX4;SPC25;LYAR;NME1;EXOSC8;KPNA2;ANP32E;SMC4;TUBB;RRM2;RANBP1;CDK1;HMGB2;AURKB;RAN;CKS1B;TOP2A;DEK;ORC6;CDKN2C;MKI67,0,AHR
9,prerank,PI3K/AKT/mTOR  Signaling,-0.6698952253314447,-1.1805052569733703,0.22033898305084745,0.8105576841209026,1.0,8/21,6.80%,ARPC3;HSP90B1;SLC2A1;CDK1;MKNK2;PRKCB;TRIB3;DDIT3,0,AHR
10,prerank,Glycolysis,-0.5858503494214363,-1.1797724170468031,0.20634920634920634,0.7330546847788227,1.0,9/40,5.16%,LDHA;PKM;ENO1;MDH2;CITED2;HSPA5;CDK1;GMPPA;DDIT4,0,AHR
11,prerank,Fatty Acid Metabolism,-0.5946834846031778,-1.1614804036960773,0.2222222222222222,0.7493112947658402,1.0,9/34,6.20%,LDHA;FASN;ODC1;HSP90AA1;MDH2;REEP6;ACSL1;S100A10;ACAT2,0,AHR
12,prerank,Complement,0.5224716211326554,1.147393545197272,0.23076923076923078,1.0,1.0,14/66,6.26%,CD59;ANXA5;CTSC;LAMP2;HSPA1A;CTSB;LRP1;MSRB1;S100A13;TIMP1;CEBPB;PSMB9;CD55;PLAUR,0,AHR
13,prerank,Myogenesis,-0.553596605960643,-1.1326787361354917,0.26229508196721313,0.7914779983745501,1.0,15/68,9.54%,CLU;CKB;KCNH2;TNNT1;TGFB1;BHLHE40;MYH9;CRYAB;EIF4A2;ACSL1;HRC;CFD;GADD45B;MYL4;COL1A1,0,AHR
14,prerank,Protein Secretion,0.6199103372679332,1.079968178955622,0.35294117647058826,1.0,1.0,7/15,5.80%,CLTA;CD63;CTSC;CLCN3;LAMP2;SEC24D;DST,0,AHR
15,prerank,Allograft Rejection,-0.4970234353580932,-1.0730532827367565,0.3230769230769231,0.9537818503335744,1.0,17/86,9.96%,NPM1;NME1;CCND3;TGFB1;CD47;PRKCB;SPI1;LCP2;RPS3A;SRGN;FLNA;CD7;CTSS;CD96;ICOSLG;CAPG;GPR65,0,AHR
16,prerank,p53 Pathway,-0.4953824200596605,-1.0672002649572054,0.3,0.9051102154550431,1.0,20/66,11.14%,LDHB;CCND3;TGFB1;STOM;ZMAT3;MKNK2;TRIB3;DDIT4;S100A10;GADD45A;ZFP36L1;RGS16;DDIT3;VAMP8;TSC22D1;CD82;TAX1BP3;PTPRE;TXNIP;NDRG1,0,AHR
17,prerank,UV Response Dn,-0.5489074786130516,-1.066823652557891,0.41935483870967744,0.8463485429002671,1.0,8/33,6.92%,MYC;PRKAR2B;CITED2;MAP1B;BHLHE40;KIT;PMP22;ATP2B4,0,AHR
18,prerank,Coagulation,0.4939036406330378,1.055948236347836,0.3055555555555556,1.0,1.0,14/50,10.34%,LAMP2;CTSB;LRP1;MSRB2;S100A13;TIMP1;SPARC;THBS1;PLAU;PROS1;PRSS23;TF;CPQ;GSN,0,AHR
19,prerank,Interferon Gamma Response,0.43943109011507236,1.0487428492589004,0.4117647058823529,1.0,1.0,23/84,10.02%,B2M;PSME1;TAPBP;NFKBIA;BPGM;HLA-B;LY6E;BTG1;PSMB9;ARID5B;ITGB7;IFITM3;CDKN1A;SOCS1;RNF213;MT2A;LGALS3BP;HELZ2;IFI30;CD74;SOCS3;UBE2L6;TAP1,0,AHR
20,prerank,Unfolded Protein Response,-0.6222267299624445,-1.019279516228916,0.5818181818181818,0.965168930686172,1.0,8/16,5.24%,NPM1;HSP90B1;ATF4;HSPA5;EIF4A2;CKS1B;DDIT4;NABP1,0,AHR
21,prerank,Reactive Oxygen Species Pathway,-0.6397574673090287,-1.0081218105902694,0.5272727272727272,0.9446185997910136,1.0,6/15,8.30%,PRDX4;SOD2;JUNB;PRDX2;FES;PRDX1,0,AHR
22,prerank,KRAS Signaling Dn,0.4862472240579844,1.002015701918091,0.43243243243243246,1.0,1.0,7/38,7.06%,COL2A1;BTG2;IGFBP2;YPEL1;CKM;TNNI3;SGK1,0,AHR
23,prerank,Epithelial Mesenchymal Transition,0.4325286422935173,0.9954644655076567,0.3953488372093023,0.9938041258888967,1.0,21/84,10.64%,CD59;JUN;LRP1;PDLIM4;IGFBP2;EMP3;TIMP1;SPARC;DST;PLAUR;THBS1;SAT1;ID2;LGALS1;ECM1;TPM1;FBLN2;GLIPR1;GEM;AREG;PFN2,0,AHR
24,prerank,Estrogen Response Late,-0.47298304288760556,-0.9948291935195216,0.4507042253521127,0.9243778784008669,1.0,9/62,7.94%,GAL;MYB;CKB;FABP5;PRKAR2B;TOP2A;TSPAN13;ATP2B4;CD9,0,AHR
25,prerank,UV Response Up,-0.4748603466980627,-0.9764022086215466,0.5245901639344263,0.9206034941062163,1.0,8/45,6.18%,GAL;SOD2;DDX21;DNAJB1;KCNH2;CCND3;JUNB;NR4A1,0,AHR
26,prerank,Interferon Alpha Response,0.4544323730303501,0.9569459205776655,0.43333333333333335,0.9813947757516018,1.0,15/45,11.44%,B2M;PSME1;LY6E;PSMB9;IFITM3;LGALS3BP;HLA-C;HELZ2;IFI30;CD74;UBE2L6;TAP1;UBA7;GBP2;PSMB8,0,AHR
27,prerank,IL-2/STAT5 Signaling,-0.4476160495706601,-0.9407346913067383,0.5423728813559322,0.9764193660745385,1.0,17/72,9.96%,MYC;ODC1;CCND3;BHLHE40;CTSZ;TNFSF10;RHOH;S100A1;RGS16;MAPKAPK2;GADD45B;PLPP1;CDKN1C;CD48;KLF6;CAPG;GPR65,0,AHR
28,prerank,TGF-beta Signaling,0.5340364530860975,0.9292078811889941,0.5740740740740741,0.9668145227534091,1.0,6/17,6.68%,ID3;CTNNB1;SLC20A1;ID1;THBS1;ID2,0,AHR
29,prerank,Androgen Response,-0.49991853478203957,-0.92501056851437,0.6296296296296297,0.969962349272694,1.0,8/29,7.68%,PA2G4;MYL12A;CCND3;DBI;FADS1;KRT8;TSC22D1;PLPP1,0,AHR
30,prerank,Hypoxia,-0.42548211850034356,-0.9227980370258299,0.582089552238806,0.9301795383300085,1.0,15/78,8.50%,LDHA;ENO1;GAPDH;CITED2;HSPA5;SLC2A1;BHLHE40;MYH9;PHKG1;DDIT4;DDIT3;KLHL24;CDKN1C;TES;KLF6,0,AHR
31,prerank,Spermatogenesis,0.5016637610166998,0.9097836118939934,0.625,0.9322326269098078,1.0,6/26,8.52%,HBZ;KIF2C;ACRBP;TNNI3;CCNB2;TLE4,0,AHR
32,prerank,G2-M Checkpoint,0.42378227413935293,0.9028026662651168,0.64,0.8676463999283123,1.0,17/42,7.32%,HMGN2;STMN1;CKS2;CENPE;CDC20;PLK1;HSPA8;ATF5;CDC45;KIF2C;CCNA2;HMMR;BIRC5;PTTG1;CENPF;MEIS1;MT2A,0,AHR
33,prerank,KRAS Signaling Up,-0.4171490424492154,-0.9007637806351272,0.6774193548387096,0.9499795556767071,1.0,14/78,11.74%,LAPTM5;RELN;FCER1G;GYPC;SDCCAG8;TSPAN13;RGS16;TOR1AIP2;TMEM158;CTSS;LY96;ADAM8;CFH;ACE,0,AHR
34,prerank,Adipogenesis,-0.46996836305215267,-0.900069394890075,0.6440677966101694,0.9108905143387901,1.0,7/34,7.84%,UCP2;MDH2;STOM;REEP6;NABP1;GADD45A;CDKN2C,0,AHR
35,prerank,Inflammatory Response,0.38359846902303224,0.8928659589099365,0.7352941176470589,0.824913750616067,1.0,13/80,8.58%,CSF3R;TAPBP;NFKBIA;BTG2;EMP3;ICAM4;LY6E;TIMP1;CD55;CDKN1A;PLAUR;P2RX4;CD70,0,AHR
36,prerank,Xenobiotic Metabolism,-0.42418003007591515,-0.8750699796694558,0.7454545454545455,0.9312991988854058,1.0,10/53,10.72%,PGD;DDAH2;ETS2;GAD1;ABCC3;HES6;TKFC;SMOX;SLC46A3;GCNT2,0,AHR
37,prerank,DNA Repair,-0.5264396158438991,-0.8710093942648783,0.6470588235294118,0.9059561128526645,1.0,5/15,5.82%,NME1;POLR2E;CMPK2;POLR3GL;EIF1B,0,AHR
38,prerank,heme Metabolism,-0.40165662602801866,-0.868997787616946,0.6481481481481481,0.875472477005044,1.0,8/55,4.56%,KLF1;LMO2;SLC25A37;UCP2;CCND3;SLC2A1;GYPC;ACP5,0,AHR
39,prerank,Apoptosis,-0.394695783152123,-0.8526355704369587,0.75,0.8822709857192617,1.0,14/68,10.04%,KRT18;CLU;SOD2;LMNA;TNFRSF12A;HMGB2;TNFSF10;TOP2A;GADD45A;DDIT3;GADD45B;IGFBP6;ANXA1;SQSTM1,0,AHR
